,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hours),Snow inches(last 3hours)
153,Qeshm,IR,2020-04-02 13:28:45,26.96,56.27,86.0,45,0,9.17,clear sky,0,0
154,Lompoc,US,2020-04-02 13:28:45,34.64,-120.46,51.8,93,0,3.36,clear sky,0,0
155,Nikolskoye,RU,2020-04-02 13:28:45,59.7,30.79,41.0,86,90,11.18,light intensity shower rain,0,0
156,Kayanga,TZ,2020-04-02 13:28:45,-1.53,31.15,79.9,33,90,4.16,overcast clouds,0,0
157,Ponta Do Sol,PT,2020-04-02 13:28:45,32.67,-17.1,66.2,59,75,6.93,broken clouds,0,0
158,Iranshahr,IR,2020-04-02 13:28:45,27.2,60.68,87.8,25,20,9.17,few clouds,0,0
159,Bosaso,SO,2020-04-02 13:28:45,11.28,49.18,86.45,57,70,9.73,broken clouds,0,0
160,Shahrud,IR,2020-04-02 13:28:46,36.42,54.98,65.3,20,4,23.78,clear sky,0,0
161,Arraial Do Cabo,BR,2020-04-02 13:28:46,-22.97,-42.03,80.6,74,75,14.99,broken clouds,0,0
162,Tuktoyaktuk,CA,2020-04-02 13:28:46,69.45,-133.04,-0.4,64,5,18.34,clear sky,0,0
163,Ozinki,RU,2020-04-02 13:28:46,51.18,49.68,45.3,51,0,15.82,clear sky,0,0
164,Rincon,US,2020-04-02 13:27:49,32.3,-81.24,57.99,62,40,10.29,scattered clouds,0,0
165,Isla Mujeres,MX,2020-04-02 13:28:46,21.23,-86.73,75.2,100,40,4.23,scattered clouds,0,0
166,Walvis Bay,NA,2020-04-02 13:28:47,-22.96,14.51,63.0,87,0,1.99,clear sky,0,0
167,Byron Bay,AU,2020-04-02 13:28:47,-28.65,153.62,75.0,100,80,4.7,broken clouds,0,0
168,Ekimchan,RU,2020-04-02 13:28:47,53.07,132.97,15.6,90,97,4.56,light snow,0,0.12
169,Port Alfred,ZA,2020-04-02 13:25:12,-33.59,26.89,71.01,78,7,7.0,clear sky,0,0
170,Castro,BR,2020-04-02 13:28:47,-24.79,-50.01,71.76,54,54,5.41,broken clouds,0,0
171,Acarau,BR,2020-04-02 13:28:47,-2.89,-40.12,82.71,78,100,9.46,overcast clouds,0,0
172,Bubaque,GW,2020-04-02 13:28:47,11.28,-15.83,79.95,62,40,6.73,scattered clouds,0,0
173,Shahada,IN,2020-04-02 13:28:48,21.55,74.47,102.47,11,0,9.46,clear sky,0,0
174,Ambovombe,MG,2020-04-02 13:28:48,-25.17,46.08,73.98,66,80,15.95,broken clouds,0,0
175,Yellowknife,CA,2020-04-02 13:28:48,62.46,-114.35,-9.0,76,90,12.75,light snow,0,0
176,Bukama,CD,2020-04-02 13:28:48,-9.2,25.85,86.34,60,69,2.01,moderate rain,3.96,0
177,Mahebourg,MU,2020-04-02 13:24:59,-20.41,57.7,82.4,78,40,6.93,shower rain,0,0
178,Arman,RU,2020-04-02 13:28:48,59.7,150.17,16.9,93,6,4.32,clear sky,0,0
179,Port Hedland,AU,2020-04-02 13:28:48,-20.32,118.57,80.6,69,56,8.05,broken clouds,0,0
180,Puerto Montt,CL,2020-04-02 13:28:49,-41.47,-72.94,46.4,100,40,2.24,mist,0,0
